"Total signals"	"Cell type"
"bisque4"	0	""
"plum2"	3	" Cerebellum_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso Neutrophils"
"darkmagenta"	0	""
"lavenderblush3"	1	" Cerebellum_MicrogliaActivation_Neuroexpresso"
"blue"	0	""
"mediumorchid"	0	""
"brown"	0	""
"darkgrey"	0	""
"skyblue2"	0	""
"lightyellow"	4	" CD8Tcells Cortex_Microglia_Neuroexpresso Cytotoxiccells Tcells"
"lightsteelblue"	0	""
"lightpink3"	0	""
"lightcyan1"	0	""
"turquoise"	0	""
"darkviolet"	0	""
"darkseagreen4"	0	""
"red"	0	""
"darkgreen"	0	""
"thistle1"	0	""
"white"	0	""
"ivory"	0	""
"firebrick4"	0	""
"magenta"	2	" Cortex_Endothelial_Neuroexpresso Endothelial"
"darkred"	1	" Astrocyte"
"navajowhite1"	0	""
"yellow"	0	""
"indianred4"	0	""
"lightgreen"	0	""
"cyan"	0	""
"royalblue"	0	""
"salmon2"	0	""
"yellowgreen"	1	" Astrocyte"
"coral1"	1	" Mural"
"palevioletred2"	0	""
"skyblue"	0	""
"mediumpurple2"	0	""
"salmon4"	0	""
"lightsteelblue1"	0	""
"plum"	0	""
"sienna3"	0	""
"plum3"	0	""
"honeydew"	0	""
"darkorange2"	0	""
"thistle2"	3	" Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"brown2"	0	""
"orangered4"	0	""
"plum1"	0	""
"floralwhite"	10	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia Neutrophils"
"midnightblue"	0	""
"darkolivegreen"	2	" Dopaminergic_Neuron Dopaminergic"
"purple"	0	""
"orangered3"	1	" Ependymal"
"yellow4"	0	""
"lightcyan"	2	" Dopaminergic_Neuron Dopaminergic"
"mediumpurple3"	0	""
"darkturquoise"	0	""
"black"	0	""
"skyblue1"	8	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Macrophages Microglia"
"paleturquoise"	0	""
"orange"	0	""
"greenyellow"	0	""
"maroon"	0	""
"darkorange"	11	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia"
"honeydew1"	0	""
"darkolivegreen4"	0	""
"tan"	0	""
"antiquewhite2"	0	""
"green"	0	""
"violet"	0	""
"lightcoral"	0	""
"darkseagreen3"	0	""
"brown4"	0	""
"coral"	0	""
"thistle3"	0	""
"lightpink4"	0	""
"grey60"	0	""
"coral3"	0	""
"salmon"	0	""
"thistle"	0	""
"lavenderblush2"	0	""
"navajowhite2"	0	""
"palevioletred3"	0	""
"magenta4"	0	""
"saddlebrown"	0	""
"skyblue3"	1	" DARMANIS_FETAL1"
"mediumpurple4"	0	""
"antiquewhite4"	0	""
"coral2"	0	""
"blue2"	0	""
"darkslateblue"	0	""
